node_idx,x,y,elevation,flow_accumulation,mean_depth,max_depth
857,803076.56,349732.44,300.84543,1.0,4.787688,8.243927
856,803051.56,349732.44,300.86115,1.0,4.7723107,8.22821
914,803076.56,349707.44,301.03784,2.0,4.5999165,8.051514
913,803051.56,349707.44,301.05524,1.0,4.582905,8.034119
978,803051.56,349682.44,301.15625,1.0,4.484535,7.9331055
858,803101.56,349732.44,301.18964,1.0,4.4522414,7.899719
915,803101.56,349707.44,301.2209,1.0,4.421866,7.868469
979,803076.56,349682.44,301.2693,1.0,4.3747387,7.8200684
981,803126.56,349682.44,301.2813,1.0,4.3638306,7.8080444
912,803026.56,349707.44,301.28125,1.0,4.363157,7.8081055
977,803026.56,349682.44,301.2841,1.0,4.3603377,7.8052673
916,803126.56,349707.44,301.35217,1.0,4.2946143,7.7371826
980,803101.56,349682.44,301.35336,1.0,4.2934375,7.7359924
855,803026.56,349732.44,301.40933,1.0,4.2393994,7.680023
1049,803101.56,349657.44,301.4375,2.0,4.21205,7.6518555
1050,803126.56,349657.44,301.4375,1.0,4.2119484,7.6518555
859,803126.56,349732.44,301.4904,2.0,4.1609864,7.5989685
1047,803051.56,349657.44,301.4909,1.0,4.1606574,7.5984497
917,803151.56,349707.44,301.51984,1.0,4.1329994,7.569519
1048,803076.56,349657.44,301.52914,1.0,4.1235094,7.560211
806,803101.56,349757.44,301.53708,1.0,4.1157527,7.5522766
1117,803101.56,349632.44,301.56186,1.0,4.092248,7.5274963
1116,803076.56,349632.44,301.56186,3.0,4.0919967,7.5274963
982,803151.56,349682.44,301.5739,4.0,4.0806108,7.515442
1185,803101.56,349607.44,301.6251,1.0,4.033455,7.464264
1046,803026.56,349657.44,301.63287,1.0,4.024237,7.456482
1250,803101.56,349582.44,301.64642,1.0,4.0126767,7.442932
1319,803101.56,349557.44,301.65625,1.0,4.006118,7.4331055
1115,803051.56,349632.44,301.6559,1.0,4.001943,7.433441
1118,803126.56,349632.44,301.66766,1.0,3.9904692,7.421692
807,803126.56,349757.44,301.6839,1.0,3.9746013,7.4054565
860,803151.56,349732.44,301.72906,1.0,3.9319112,7.3602905
1184,803076.56,349607.44,301.7376,1.0,3.9240022,7.3517456
1051,803151.56,349657.44,301.78125,1.0,3.882141,7.3081055
1249,803076.56,349582.44,301.8204,1.0,3.8460064,7.2689514
1186,803126.56,349607.44,301.82455,1.0,3.8413303,7.264801
1251,803126.56,349582.44,301.82812,1.0,3.8380098,7.2612305
1119,803151.56,349632.44,301.90378,1.0,3.7658138,7.1855774
1183,803051.56,349607.44,301.9425,6.0,3.7308834,7.1468506
808,803151.56,349757.44,301.94727,1.0,3.7239833,7.14209
1187,803151.56,349607.44,301.95734,1.0,3.7157075,7.132019
1252,803151.56,349582.44,301.9609,1.0,3.7124667,7.1284485
1320,803126.56,349557.44,301.99283,6.0,3.6830478,7.096527
1318,803076.56,349557.44,302.02274,4.0,3.6554816,7.06662
1114,803026.56,349632.44,302.12076,1.0,3.5658984,6.9685974
1248,803051.56,349582.44,302.14954,1.0,3.535201,6.9398193
1317,803051.56,349557.44,302.1598,1.0,3.5250695,6.9295654
983,803176.56,349682.44,302.1809,1.0,3.5080895,6.9084473
918,803176.56,349707.44,302.18115,1.0,3.5076609,6.908203
861,803176.56,349732.44,302.30374,1.0,3.3926668,6.785614
1052,803176.56,349657.44,302.30524,1.0,3.3908617,6.7841187
1321,803151.56,349557.44,302.4169,1.0,3.2907586,6.672455
516,802951.56,349907.44,295.63824,1.0,3.244604,3.8999329
1182,803026.56,349607.44,302.4979,7.0,3.222358,6.591461
1120,803176.56,349632.44,302.49292,1.0,3.2210314,6.5964355
911,803001.56,349707.44,302.51392,1.0,3.203768,6.5754395
854,803001.56,349732.44,302.51834,1.0,3.1975102,6.5710144
471,802951.56,349932.44,295.7006,2.0,3.1835573,3.8357239
1247,803026.56,349582.44,302.68604,4.0,3.0489452,6.4033203
976,803001.56,349682.44,302.85382,1.0,2.904788,6.2355347
1387,803101.56,349532.44,302.85727,1.0,2.892606,6.232086
1188,803176.56,349607.44,302.87332,1.0,2.8841085,6.216034
1386,803076.56,349532.44,302.87115,3.0,2.8770764,6.2182007
3018,801862.0,349097.94,352.31226,1.0,2.82407,3.5324707
1385,803051.56,349532.44,302.92886,1.0,2.8225045,6.160492
862,803201.56,349732.44,302.94165,1.0,2.8182056,6.147705
805,803001.56,349757.44,302.96713,1.0,2.791121,6.122223
1045,803001.56,349657.44,303.00482,1.0,2.7694743,6.0845337
1388,803126.56,349532.44,303.0039,1.0,2.7630706,6.085449
517,802976.56,349907.44,296.13538,1.0,2.7603474,3.4049072
919,803201.56,349707.44,303.021,1.0,2.745001,6.0683594
2984,803056.06,349771.4,303.0664,1.0,2.709972,6.022949
984,803201.56,349682.44,303.06665,1.0,2.7050042,6.022705
1316,803026.56,349557.44,303.15417,1.0,2.65884,5.9351807
2979,803175.8,349776.06,303.17026,2.0,2.611157,5.919098
1053,803201.56,349657.44,303.18365,1.0,2.6042018,5.9057007
1253,803176.56,349582.44,303.21408,1.0,2.5915992,5.8752747
2983,803082.4,349774.1,303.2054,4.0,2.5897117,5.8839417
2985,803027.94,349776.12,303.2556,1.0,2.5367455,5.83374
1121,803201.56,349632.44,303.3031,1.0,2.5031323,5.786255
1389,803151.56,349532.44,303.39206,1.0,2.4434035,5.697296
565,802976.56,349882.44,296.47186,3.0,2.4327445,3.066681
3029,801897.0,349099.75,352.72775,1.0,2.4186637,3.1170044
1189,803201.56,349607.44,303.4231,1.0,2.4003499,5.66626
566,803001.56,349882.44,296.53998,1.0,2.3675144,3.0115051
1322,803176.56,349557.44,303.5212,2.0,2.3218482,5.5681458
2978,803200.1,349771.66,303.50955,1.0,2.3168585,5.5798035
470,802926.56,349932.44,296.60333,1.0,2.3050473,2.926941
1819,803601.56,349382.44,328.56888,1.0,2.2982278,2.7960205
518,803001.56,349907.44,296.61914,1.0,2.2896557,2.9284973
1113,803001.56,349632.44,303.6255,2.0,2.2798862,5.463867
515,802926.56,349907.44,296.7467,1.0,2.165941,2.7842102
920,803226.56,349707.44,303.72333,1.0,2.1499841,5.366028
1820,803626.56,349382.44,328.76248,1.0,2.1090136,2.602417
863,803226.56,349732.44,303.81976,1.0,2.0620966,5.2695923
985,803226.56,349682.44,303.85727,1.0,2.0457504,5.232086
1181,803001.56,349607.44,303.895,1.0,2.0455673,5.1943665
1254,803201.56,349582.44,303.95367,1.0,2.0013516,5.135681
1390,803176.56,349532.44,304.0338,1.0,1.9516021,5.055542
1384,803026.56,349532.44,304.18375,1.0,1.8284935,4.905609
2981,803128.94,349779.8,304.18158,1.0,1.8001134,4.907776
1886,803601.56,349357.44,329.08746,1.0,1.7944436,2.2772522
1323,803201.56,349557.44,304.31766,1.0,1.7236301,4.771698
1054,803226.56,349657.44,304.31396,1.0,1.7086776,4.7753906
1246,803001.56,349582.44,304.48212,4.0,1.654234,4.607239
2977,803223.6,349766.75,304.43417,4.0,1.590704,4.655182
2982,803106.3,349778.12,304.5338,1.0,1.5545013,4.555542
2475,801926.56,349082.44,353.66605,1.0,1.5276248,2.1786804
1753,803626.56,349407.44,329.38824,1.0,1.507177,1.9766846
2980,803152.7,349778.97,304.57513,1.0,1.4900732,4.514221
3555,801909.1,349641.0,336.2067,1.0,1.4752606,1.6403809
1122,803226.56,349632.44,304.75928,1.0,1.4117163,4.330078
567,803026.56,349882.44,297.5434,1.0,1.4039173,2.050293
3019,801878.25,349116.3,353.85443,2.0,1.3539392,1.9901733
568,803051.56,349882.44,297.60864,1.0,1.3419641,2.026947
2606,801976.56,348982.44,353.2902,1.0,1.2633227,1.5089722
842,802701.56,349732.44,307.50098,1.0,1.2632613,1.6331787
2629,801976.56,348957.44,353.29117,1.0,1.2623717,1.5079956
564,802951.56,349882.44,297.69888,1.0,1.2474204,1.8357849
843,802726.56,349732.44,307.52185,1.0,1.2428702,1.6125793
3541,802837.75,349985.66,297.68912,2.0,1.1903695,1.7652893
3392,802847.9,349968.4,297.69202,1.0,1.187378,1.7599182
1190,803226.56,349607.44,305.2105,1.0,1.1675469,3.8788452
3542,802820.6,349975.56,297.75,3.0,1.1306691,1.7011108
1754,803651.56,349407.44,329.80795,1.0,1.113744,1.5569458
3393,802830.75,349958.3,297.78296,1.0,1.0983758,1.6673279
1413,803751.56,349532.44,331.865,1.0,1.0938627,1.217804
3391,802864.56,349977.25,297.80026,1.0,1.0814989,1.6549683
3540,802856.06,349995.34,297.805,2.0,1.0769026,1.6528015
910,802976.56,349707.44,305.28198,1.0,1.0656155,3.807373
617,803076.56,349857.44,297.90756,1.0,1.0583628,1.815033
1752,803601.56,349407.44,329.8756,1.0,1.0509903,1.4893188
1685,803651.56,349432.44,329.8774,4.0,1.0476215,1.4875793
900,802726.56,349707.44,307.7238,1.0,1.045613,1.407135
2015,801651.56,349282.44,356.89078,1.0,1.0361627,1.250824
1315,803001.56,349557.44,306.2499,1.0,1.0086879,2.839447
2836,802301.56,348732.44,340.7787,1.0,1.0022471,2.741455
616,803051.56,349857.44,297.9668,1.0,0.9956623,1.6876526
986,803251.56,349682.44,305.42844,1.0,0.9934294,3.6609192
472,802976.56,349932.44,297.9715,1.0,0.9890628,1.5667114
853,802976.56,349732.44,305.37988,1.0,0.9857541,3.7094727
1180,802976.56,349607.44,305.5585,1.0,0.95998096,3.5308533
1112,802976.56,349632.44,305.57526,1.0,0.9478498,3.5140991
975,802976.56,349682.44,305.43008,1.0,0.9443954,3.6592712
3630,801881.56,349635.16,336.76102,1.0,0.93763757,1.0862427
2816,802276.56,348757.44,339.5438,1.0,0.932867,1.9968567
1391,803201.56,349532.44,305.75446,2.0,0.9213777,3.3349
3543,802803.44,349965.47,297.96875,1.0,0.91699594,1.4786072
921,803251.56,349707.44,305.53616,1.0,0.9023629,3.5531921
1684,803626.56,349432.44,330.05777,3.0,0.88034,1.307251
864,803251.56,349732.44,305.57892,1.0,0.868018,3.510437
1255,803226.56,349582.44,305.901,1.0,0.8662099,3.1883545
569,803076.56,349882.44,298.11038,1.0,0.85765827,1.5705566
3420,802834.2,350006.75,298.03302,1.0,0.8545354,1.4137878
3394,802813.6,349948.22,298.04895,2.0,0.83880025,1.3996582
1055,803251.56,349657.44,305.64673,1.0,0.8282822,3.442627
2773,802226.56,348807.44,336.0839,1.0,0.8108871,1.8609619
3419,802817.0,349996.66,298.09393,1.0,0.79514986,1.3590393
1414,801776.56,349507.44,338.5006,1.0,0.7889129,1.2385254
2334,802626.56,349157.44,323.25256,1.0,0.7658986,1.2000732
3418,802799.9,349986.56,298.1281,1.0,0.76167387,1.3203125
1044,802976.56,349657.44,305.81287,1.0,0.73726887,3.2764893
2656,802101.56,348932.44,341.1503,1.0,0.7246791,1.617157
514,802901.56,349907.44,298.24786,1.0,0.72174406,1.2774963
2795,802251.56,348782.44,337.86624,1.0,0.7172273,1.8218994
1347,801801.56,349532.44,338.5887,2.0,0.70274705,1.1463318
3417,802782.75,349976.47,298.18945,1.0,0.70143324,1.249115
2367,801851.56,349132.44,354.59048,1.0,0.7013825,1.2533875
1458,803151.56,349507.44,306.23975,1.0,0.6988851,2.8496094
1459,803176.56,349507.44,306.2383,1.0,0.6957489,2.8510437
2976,803245.8,349760.1,305.91498,1.0,0.6911178,3.1743774
562,802901.56,349882.44,298.28125,1.0,0.6888799,1.2403564
1123,803251.56,349632.44,305.9638,1.0,0.656098,3.1255493
